rank,star,status,status_datetime,trr_id,officer_id
Police Officer,,SUBMITTED,2017-11-13 05:46:00 PM,376212,
Police Officer,,SUBMITTED,2017-11-16 05:12:00 PM,378584,
Police Officer,,SUBMITTED,2018-01-03 11:09:00 AM,378584,
Police Officer,,SUBMITTED,2017-11-21 08:46:00 AM,381442,
Sergeant of Police,,SUBMITTED,2017-11-22 04:39:00 PM,382931,
Lieutenant of Police,,APPROVED,2017-11-27 01:44:00 PM,385449,
Police Officer,,SUBMITTED,2017-12-01 01:19:00 PM,388829,
Police Officer,,SUBMITTED,2017-12-01 01:59:00 PM,388956,
Police Officer,,SUBMITTED,2017-12-03 09:05:00 AM,389943,
Police Officer,,SUBMITTED,2017-12-03 09:39:00 AM,389943,
Sergeant of Police,,SUBMITTED,2017-12-04 06:04:00 AM,390548,
Police Officer,,SUBMITTED,2017-12-04 07:34:00 AM,390969,
Sergeant of Police,,SUBMITTED,2017-12-04 07:51:00 AM,390969,
Lieutenant of Police,,APPROVED,2017-12-10 04:22:00 PM,395539,
Lieutenant of Police,,APPROVED,2017-12-10 04:18:00 PM,395542,
Police Officer,,SUBMITTED,2017-12-10 02:33:00 PM,395549,
Police Officer,,SUBMITTED,2017-12-10 02:36:00 PM,395551,
Sergeant of Police,,SUBMITTED,2017-12-17 07:43:00 AM,399984,
Sergeant of Police,,SUBMITTED,2017-12-17 07:48:00 AM,400078,
Sergeant of Police,,SUBMITTED,2017-12-17 08:05:00 AM,400146,
Sergeant of Police,,SUBMITTED,2017-12-17 08:19:00 AM,400383,
Sergeant of Police,,SUBMITTED,2017-12-19 10:55:00 AM,402086,
Police Officer,,SUBMITTED,2017-12-19 05:05:00 PM,402398,
Police Officer,,SUBMITTED,2017-12-20 06:02:00 AM,402398,
Police Officer,,SUBMITTED,2017-12-20 01:02:00 PM,402868,
Police Officer,,SUBMITTED,2017-12-21 11:07:00 AM,403196,
Police Officer,,SUBMITTED,2017-12-22 09:29:00 AM,403877,
Sergeant of Police,,SUBMITTED,2017-12-27 12:09:00 PM,407272,
Lieutenant of Police,,APPROVED,2018-01-11 05:03:00 PM,411856,
Lieutenant of Police,,APPROVED,2018-01-03 09:51:00 AM,411864,
Lieutenant of Police,,APPROVED,2018-01-06 04:09:00 PM,411865,
Sergeant of Police,,SUBMITTED,2018-01-05 06:55:00 AM,413511,
Sergeant of Police,,SUBMITTED,2018-01-05 11:36:00 AM,413702,
Police Officer,,SUBMITTED,2018-01-05 11:00:00 AM,413703,
Sergeant of Police,,SUBMITTED,2018-01-05 11:26:00 AM,413703,
Police Officer,,SUBMITTED,2018-01-05 11:34:00 AM,413723,
Sergeant of Police,,SUBMITTED,2018-01-05 11:40:00 AM,413723,
Police Officer,,SUBMITTED,2018-01-05 12:22:00 PM,413723,
Lieutenant of Police,,APPROVED,2018-01-07 12:08:00 PM,414350,
Police Officer,,SUBMITTED,2018-01-06 11:41:00 AM,414377,
Police Officer as Detective,,SUBMITTED,2018-01-08 11:29:00 AM,415191,
Sergeant of Police,,SUBMITTED,2018-01-10 01:34:00 PM,415750,
Sergeant of Police,,SUBMITTED,2018-01-10 08:02:00 AM,415937,
Sergeant of Police,,SUBMITTED,2018-01-09 10:56:00 AM,415948,
Sergeant of Police,,SUBMITTED,2018-01-10 04:20:00 PM,416776,
Sergeant of Police,,SUBMITTED,2018-01-10 03:53:00 PM,416807,
Sergeant of Police,,SUBMITTED,2018-01-10 04:32:00 PM,416824,
Sergeant of Police,,SUBMITTED,2018-01-10 02:06:00 PM,417227,
Sergeant of Police,,SUBMITTED,2018-01-11 02:02:00 PM,418095,
Sergeant of Police,,SUBMITTED,2018-01-11 01:34:00 PM,418128,
Police Officer / Field Training Officer,,SUBMITTED,2018-01-14 06:53:00 AM,419956,
Detention Aide,,SUBMITTED,2018-01-15 07:47:00 AM,420312,
Detention Aide,,SUBMITTED,2018-01-15 07:45:00 AM,420313,
Detention Aide,,SUBMITTED,2018-01-15 07:47:00 AM,420314,
Police Officer,,SUBMITTED,2018-01-19 12:00:00 PM,423523,
Police Officer,,SUBMITTED,2018-01-23 07:54:00 AM,426791,
Police Officer,,SUBMITTED,2018-01-23 01:08:00 PM,427364,
Sergeant of Police,,SUBMITTED,2018-01-23 03:41:00 PM,427364,
Police Officer,,SUBMITTED,2018-01-23 01:29:00 PM,427416,
Sergeant of Police,,SUBMITTED,2018-01-23 03:34:00 PM,427416,
Police Officer,,SUBMITTED,2018-01-23 01:44:00 PM,427421,
Sergeant of Police,,SUBMITTED,2018-01-23 03:49:00 PM,427421,
Police Officer,,SUBMITTED,2018-01-25 01:18:00 PM,428753,
Police Officer,,SUBMITTED,2018-01-25 03:45:00 PM,428917,
Sergeant of Police,,SUBMITTED,2018-01-25 04:03:00 PM,428917,
Police Officer,,SUBMITTED,2018-01-25 03:57:00 PM,428969,
Sergeant of Police,,SUBMITTED,2018-01-25 04:22:00 PM,428986,
