name,number,proportion
Police Officer,41353,0.617
Sergeant of Police,12328,0.1839
Police Officer as Detective,7383,0.1102
Police Officer / Field Training Officer,1754,0.0262
Lieutenant of Police,1656,0.0247
Police Officer Assigned Evidence Technician,415,0.0062
Police Officer Assigned Canine Handler,282,0.0042
Police Officer / Explosives Detective Canine Handler,237,0.0035
Evidence Tech,209,0.0031
Commander,194,0.0029
