rank,star,status,status_datetime,officer_id,trr_id
OFFICER,16142,,2016-04-16 06:19:00 AM,,96499
LIEUTENANT,719,,2016-04-16 06:23:00 AM,,96499
LIEUTENANT,719,,2016-04-16 06:25:00 AM,,96499
OFFICER,17702,,2016-04-16 06:56:00 AM,,96500
SERGEANT,1484,,2016-04-16 07:04:00 AM,,96500
LIEUTENANT,586,,2016-04-16 08:12:00 AM,,96500
SERGEANT,1093,,2016-04-16 06:50:00 AM,,96501
SERGEANT,1484,,2016-04-16 07:04:00 AM,,96501
LIEUTENANT,586,,2016-04-16 08:11:00 AM,,96501
OFFICER,19146,,2016-04-16 07:01:00 AM,,96502
SERGEANT,1484,,2016-04-16 07:04:00 AM,,96502
LIEUTENANT,586,,2016-04-16 08:11:00 AM,,96502
OFFICER,11974,,2016-04-16 08:15:00 AM,,96503
SERGEANT,1841,,2016-04-16 08:34:00 AM,,96503
LIEUTENANT,317,,2016-04-16 09:28:00 AM,,96503
OFFICER,9565,,2016-04-16 08:27:00 AM,,96504
SERGEANT,1841,,2016-04-16 08:28:00 AM,,96504
LIEUTENANT,317,,2016-04-16 09:23:00 AM,,96504
SERGEANT,1841,,2016-04-16 09:00:00 AM,,96506
LIEUTENANT,317,,2016-04-16 09:33:00 AM,,96506
LIEUTENANT,317,,2016-04-16 09:42:00 AM,,96506
OFFICER,9186,,2016-04-16 04:53:00 PM,,96508
SERGEANT,1061,,2016-04-16 04:54:00 PM,,96508
LIEUTENANT,248,,2016-04-17 05:03:00 AM,,96508
OFFICER,13832,,2016-04-16 10:01:00 AM,,96509
SERGEANT,1437,,2016-04-16 10:12:00 AM,,96509
LIEUTENANT,660,,2016-04-16 11:18:00 AM,,96509
OFFICER,15937,,2016-04-16 08:48:00 AM,,96510
SERGEANT,1437,,2016-04-16 08:51:00 AM,,96510
LIEUTENANT,660,,2016-04-16 08:59:00 AM,,96510
OFFICER,8496,,2016-04-16 08:53:00 AM,,96511
SERGEANT,1080,,2016-04-16 09:15:00 AM,,96511
LIEUTENANT,243,,2016-04-16 09:47:00 AM,,96511
OFFICER,10642,,2016-04-16 09:04:00 AM,,96512
SERGEANT,1080,,2016-04-16 09:14:00 AM,,96512
LIEUTENANT,243,,2016-04-16 09:38:00 AM,,96512
OFFICER,19511,,2016-04-16 09:04:00 AM,,96513
SERGEANT,1080,,2016-04-16 09:16:00 AM,,96513
LIEUTENANT,243,,2016-04-16 09:44:00 AM,,96513
OFFICER,4546,,2016-04-16 09:37:00 AM,,96514
SERGEANT,1080,,2016-04-16 10:14:00 AM,,96514
LIEUTENANT,243,,2016-04-16 11:43:00 AM,,96514
OFFICER,13089,,2016-04-16 10:18:00 AM,,96515
SERGEANT,2594,,2016-04-16 10:50:00 AM,,96515
LIEUTENANT,243,,2016-04-16 12:06:00 AM,,96515
OFFICER,6626,,2016-04-16 10:22:00 AM,,96516
SERGEANT,1080,,2016-04-16 10:57:00 AM,,96516
LIEUTENANT,243,,2016-04-16 11:46:00 AM,,96516
OFFICER,13244,,2016-04-16 12:03:00 AM,,96517
SERGEANT,1308,,2016-04-16 12:05:00 AM,,96517
LIEUTENANT,627,,2016-04-16 01:15:00 PM,,96517
OFFICER,16245,,2016-04-16 12:08:00 AM,,96518
SERGEANT,1308,,2016-04-16 12:11:00 AM,,96518
LIEUTENANT,627,,2016-04-16 01:10:00 PM,,96518
LIEUTENANT,627,,2016-04-16 01:14:00 PM,,96518
OFFICER,13259,,2016-04-16 12:44:00 AM,,96519
SERGEANT,2287,,2016-04-16 12:45:00 AM,,96519
LIEUTENANT,241,,2016-04-16 01:13:00 PM,,96519
OFFICER,18267,,2016-04-16 12:52:00 AM,,96520
SERGEANT,2287,,2016-04-16 12:53:00 AM,,96520
LIEUTENANT,241,,2016-04-16 01:16:00 PM,,96520
OFFICER,10766,,2016-04-17 08:36:00 AM,,96521
SERGEANT,1726,,2016-04-17 08:37:00 AM,,96521
LIEUTENANT,397,,2016-04-17 08:48:00 AM,,96521
OFFICER,5327,,2016-04-17 08:48:00 AM,,96522
SERGEANT,1726,,2016-04-17 08:48:00 AM,,96522
LIEUTENANT,397,,2016-04-17 08:50:00 AM,,96522
OFFICER,18529,,2016-04-17 10:03:00 AM,,96523
SERGEANT,2184,,2016-04-17 10:05:00 AM,,96523
LIEUTENANT,724,,2016-04-17 10:16:00 AM,,96523
OFFICER,4498,,2016-04-17 10:26:00 AM,,96524
SERGEANT,1345,,2016-04-17 10:44:00 AM,,96524
LIEUTENANT,534,,2016-04-17 03:34:00 PM,,96524
SERGEANT,2108,,2016-04-17 10:26:00 AM,,96525
LIEUTENANT,534,,2016-04-17 01:45:00 PM,,96525
LIEUTENANT,534,,2016-04-17 02:11:00 PM,,96525
OFFICER,14499,,2016-04-17 12:04:00 AM,,96530
SERGEANT,1962,,2016-04-17 12:39:00 AM,,96530
LIEUTENANT,526,,2016-04-17 01:18:00 PM,,96530
OFFICER,18517,,2016-04-17 12:22:00 AM,,96531
SERGEANT,1424,,2016-04-17 12:36:00 AM,,96531
LIEUTENANT,526,,2016-04-17 12:52:00 AM,,96531
OFFICER,4515,,2016-04-17 12:33:00 AM,,96532
SERGEANT,1962,,2016-04-17 12:39:00 AM,,96532
LIEUTENANT,526,,2016-04-17 01:07:00 PM,,96532
OFFICER,14227,,2016-04-17 12:57:00 AM,,96533
SERGEANT,1424,,2016-04-17 01:00:00 PM,,96533
LIEUTENANT,526,,2016-04-17 01:28:00 PM,,96533
OFFICER,16153,,2016-04-17 04:18:00 PM,,96534
SERGEANT,2559,,2016-04-17 04:32:00 PM,,96534
LIEUTENANT,410,,2016-04-17 04:40:00 PM,,96534
OFFICER,15982,,2016-04-17 04:22:00 PM,,96535
SERGEANT,2559,,2016-04-17 04:31:00 PM,,96535
